number,name,status
1,PEP Purpose and Guidelines,Active
233,Python Online Help,Deferred
232,Function Attributes,Final
234,Iterators,Final
235,Import on Case-Insensitive Platforms,Final
236,Back to the __future__,Final
231,__findattr__(),Rejected
228,Reworking Python’s Numeric Model,Withdrawn
229,Using Distutils to Build Python,Final
227,Statically Nested Scopes,Final
230,Warning Framework,Final
226,Python 2.1 Release Schedule,Final
237,Unifying Long Integers and Integers,Final
8101,2020 Term Steering Council election,Final
8016,The Steering Council Model,Accepted
8104,2023 Term Steering Council election,Active
8100,January 2019 Steering Council election,Final
8103,2022 Term Steering Council election,Final
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
8102,2021 Term Steering Council election,Final
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8010,The Technical Leader Governance Model,Rejected
240,Adding a Rational Literal to Python,Rejected
238,Changing the Division Operator,Final
239,Adding a Rational Type to Python,Rejected
8001,Python Governance Voting Process,Final
8002,Open Source Governance Survey,Final
8000,Python Language Governance Proposal Overview,Final
3155,Qualified name for classes and functions,Final
3153,Asynchronous IO support,Superseded
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3154,Pickle protocol version 4,Final
3333,Python Web Server Gateway Interface v1.0.1,Final
3151,Reworking the OS and IO exception hierarchy,Final
3152,Cofunctions,Rejected
3149,ABI version tagged .so files,Final
3148,futures - execute computations asynchronously,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3147,PYC Repository Directories,Final
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3146,Merging Unladen Swallow into CPython,Withdrawn
3144,IP Address Manipulation Library for the Python Standard Library,Final
3141,A Type Hierarchy for Numbers,Final
3142,Add a “while” clause to generator expressions,Rejected
3143,Standard daemon process library,Deferred
3140,"str(container) should call str(item), not repr(item)",Rejected
3136,Labeled break and continue,Rejected
3138,String representation in Python 3000,Final
3137,Immutable Bytes and Mutable Buffer,Final
3139,Cleaning out sys and the “interpreter” module,Rejected
3135,New Super,Final
